Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2020,YR2020,..,..,3.139,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4,832392458
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2020,YR2020,..,..,3.914,..,..,..,..,..,..,..,..,..,3.495,..,..,..,..,53.2,920422
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2020,YR2020,..,..,2.712,..,..,..,..,..,..,..,..,..,2.421,..,..,..,..,0.1,5529543
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2020,YR2020,..,..,3.219,..,..,..,..,..,..,..,..,..,2.874,..,..,..,..,0.1,67571107
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2020,YR2020,..,..,3.552,..,..,..,..,..,..,..,..,..,3.171,..,..,..,..,28.6,2292573
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2020,YR2020,..,..,3.11,..,..,..,..,..,..,..,..,..,2.777,..,..,..,..,67,2573995
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2020,YR2020,..,..,3.025,..,..,..,..,..,..,..,..,..,2.701,..,..,..,..,0.2,83160871
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2020,YR2020,..,..,4.033,..,..,..,..,..,..,..,..,..,3.601,..,..,..,..,77.5,32180401
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2020,YR2020,..,..,3.13,..,..,..,..,..,..,..,..,..,2.795,..,..,..,..,2.8,10698599
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2020,YR2020,..,..,5.796,..,..,..,..,..,..,..,..,..,5.175,..,..,..,..,..,123663
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2020,YR2020,..,..,4.127,..,..,..,..,..,..,..,..,..,3.685,..,..,..,..,89.5,13205153
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2020,YR2020,..,..,3.505,..,..,..,..,..,..,..,..,..,3.129,..,..,..,..,84.5,2015828
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2020,YR2020,..,..,4.889,..,..,..,..,..,..,..,..,..,4.365,..,..,..,..,41.4,797202
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2020,YR2020,..,..,4.49,..,..,..,..,..,..,..,..,..,4.009,..,..,..,..,88.3,11306801
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2020,YR2020,..,..,3.354,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,1187991911
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2020,YR2020,..,..,3.486,..,..,..,..,..,..,..,..,..,3.113,..,..,..,..,46.9,10121763
